customer_id,gender,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_tickets,last_login_days,usage_frequency,plan_type,has_premium_support,churn
CUST-0053,Female,74,8,84.05,669.24,Month-to-month,Bank transfer,Fiber optic,3,17,17,Premium,No,Yes
CUST-0054,Female,57,3,85.01,233.58,Month-to-month,Electronic check,Fiber optic,6,6,8,Basic,Yes,Yes
CUST-0055,Female,25,47,109.16,5123.49,Two year,Mailed check,Fiber optic,1,29,11,Premium,Yes,No
CUST-0056,Female,57,8,69.24,545.43,Month-to-month,Electronic check,Fiber optic,5,30,8,Basic,Yes,Yes
CUST-0057,Male,61,6,34.96,180.0,Month-to-month,Credit card,DSL,4,23,2,Basic,No,Yes
CUST-0058,Male,73,15,73.16,1117.23,Month-to-month,Bank transfer,Fiber optic,7,18,6,Standard,No,Yes
CUST-0059,Male,40,7,49.79,327.3,Month-to-month,Credit card,DSL,4,3,6,Basic,Yes,Yes
CUST-0060,Male,57,8,72.87,609.08,Month-to-month,Bank transfer,Fiber optic,8,13,12,Basic,No,Yes
CUST-0061,Male,28,21,79.05,1663.12,One year,Credit card,DSL,1,8,10,Premium,Yes,No
CUST-0062,Male,63,3,43.22,116.82,Month-to-month,Electronic check,No,5,3,17,Standard,Yes,No
CUST-0063,Female,25,31,70.35,2188.6,Two year,Mailed check,Fiber optic,1,5,15,Basic,No,No
CUST-0064,Male,46,72,67.11,4829.26,Two year,Bank transfer,Fiber optic,2,23,7,Basic,No,No
CUST-0065,Male,47,21,60.22,1291.1,Month-to-month,Bank transfer,No,1,25,12,Premium,Yes,Yes
CUST-0066,Female,73,43,64.19,2802.59,Two year,Bank transfer,No,1,1,10,Premium,Yes,No
CUST-0067,Male,77,2,21.69,51.23,Month-to-month,Electronic check,No,0,0,15,Basic,Yes,No
CUST-0068,Female,27,1,67.88,67.88,Month-to-month,Electronic check,Fiber optic,4,22,10,Basic,No,Yes
CUST-0069,Male,56,16,71.95,1183.26,Month-to-month,Credit card,DSL,1,16,6,Standard,Yes,Yes
CUST-0070,Female,45,22,19.99,435.68,Month-to-month,Mailed check,No,5,3,12,Basic,No,Yes
CUST-0071,Female,66,5,19.99,,Month-to-month,Electronic check,No,4,4,10,Basic,No,No
CUST-0072,Male,53,23,35.79,847.78,One year,Bank transfer,No,0,17,3,Standard,Yes,No
CUST-0073,Male,78,1,63.37,80.16,Month-to-month,Credit card,Fiber optic,6,25,3,Basic,No,Yes
CUST-0074,Female,30,17,87.31,1473.99,One year,Electronic check,Fiber optic,2,12,15,Standard,Yes,No
CUST-0075,Female,49,17,79.07,1350.49,Month-to-month,Credit card,DSL,5,19,8,Premium,No,Yes
CUST-0076,Female,53,18,78.23,1401.26,One year,Credit card,Fiber optic,2,26,17,Standard,No,No
CUST-0077,Female,54,17,42.02,726.42,Month-to-month,Credit card,DSL,2,26,11,Basic,No,Yes
CUST-0078,Male,43,8,57.26,468.17,Month-to-month,Credit card,DSL,1,25,12,Basic,Yes,Yes
CUST-0079,Male,39,24,54.61,1285.07,Month-to-month,Mailed check,Fiber optic,3,10,21,Basic,No,No
CUST-0080,Male,21,31,76.17,2362.1,Month-to-month,Electronic check,Fiber optic,3,22,13,Basic,Yes,No
CUST-0081,Female,48,1,35.0,35.0,Month-to-month,Electronic check,DSL,1,19,9,Basic,No,No
CUST-0082,Female,35,57,19.99,1110.98,Two year,Electronic check,No,2,26,9,Basic,No,No
CUST-0083,Male,55,1,19.99,19.99,Month-to-month,Mailed check,No,9,0,16,Basic,No,Yes
CUST-0084,Male,41,27,63.06,1690.68,One year,Electronic check,Fiber optic,3,11,19,Basic,No,Yes
CUST-0085,Male,73,24,60.36,1414.45,One year,Electronic check,Fiber optic,0,12,18,Basic,No,No
CUST-0086,Male,40,48,33.44,1581.39,Two year,Electronic check,No,4,25,5,Standard,No,No
CUST-0087,Female,39,1,60.34,60.34,Month-to-month,Electronic check,DSL,3,3,24,Standard,No,Yes
CUST-0088,Female,19,1,67.93,67.93,Month-to-month,Credit card,Fiber optic,0,26,8,Basic,No,Yes
CUST-0089,Female,48,49,69.1,3396.42,Two year,Electronic check,DSL,1,11,17,Standard,No,No
CUST-0090,Male,72,27,81.43,2228.14,One year,Mailed check,Fiber optic,5,5,19,Standard,No,Yes
CUST-0091,Male,28,6,78.5,492.16,Month-to-month,Mailed check,Fiber optic,5,12,14,Basic,Yes,Yes
CUST-0092,Female,45,5,81.79,417.63,Month-to-month,Electronic check,Fiber optic,0,13,17,Basic,Yes,Yes
CUST-0093,Female,63,10,49.59,503.45,Month-to-month,Credit card,DSL,0,11,19,Standard,No,No
CUST-0094,Female,49,32,46.67,1491.32,One year,Mailed check,DSL,0,20,9,Basic,No,No
CUST-0095,Female,79,21,60.6,1270.6,One year,Electronic check,Fiber optic,2,28,11,Basic,No,Yes
CUST-0096,Male,22,1,107.63,135.32,Month-to-month,Electronic check,Fiber optic,3,19,14,Premium,Yes,Yes
CUST-0097,Female,55,28,70.07,1974.33,One year,Electronic check,Fiber optic,7,1,17,Basic,No,Yes
CUST-0098,Male,27,27,80.75,2184.24,One year,Electronic check,Fiber optic,6,30,14,Standard,Yes,Yes
CUST-0099,Male,57,3,63.42,155.15,Month-to-month,Electronic check,Fiber optic,4,25,5,Basic,No,Yes
CUST-0100,Male,63,25,39.91,1012.32,One year,Mailed check,DSL,2,26,17,Basic,No,No
CUST-0101,Male,41,37,44.65,1666.88,Two year,Credit card,DSL,2,21,14,Basic,Yes,No
CUST-0102,Female,52,2,81.92,151.44,Month-to-month,Bank transfer,Fiber optic,5,11,18,Standard,No,Yes
CUST-0103,Male,61,39,73.73,2880.0,Two year,Electronic check,Fiber optic,4,5,8,Basic,No,No
CUST-0104,Female,65,1,35.4,35.4,Month-to-month,Electronic check,DSL,4,21,4,Basic,No,Yes
CUST-0105,Female,77,7,86.18,592.5,Month-to-month,Mailed check,DSL,2,3,18,Premium,Yes,No
CUST-0106,Male,79,2,77.71,163.62,Month-to-month,Electronic check,Fiber optic,5,23,10,Basic,Yes,Yes
CUST-0107,Male,40,7,43.47,282.67,Month-to-month,Electronic check,DSL,4,0,12,Basic,Yes,Yes
CUST-0108,Female,34,1,73.17,113.95,Month-to-month,Credit card,Fiber optic,4,25,6,Basic,Yes,Yes
CUST-0109,Male,18,1,91.55,102.17,Month-to-month,Electronic check,Fiber optic,4,7,9,Standard,Yes,Yes
CUST-0110,Male,72,59,58.19,3431.01,Two year,Credit card,DSL,0,7,15,Basic,Yes,No
CUST-0111,Male,48,2,44.26,107.7,Month-to-month,Electronic check,DSL,5,20,6,Basic,No,Yes
CUST-0112,Male,48,42,19.99,855.25,One year,Credit card,No,3,24,10,Basic,No,No
CUST-0113,Female,59,14,67.23,926.32,Month-to-month,Bank transfer,Fiber optic,6,11,10,Basic,No,Yes
CUST-0114,Female,74,41,66.23,2705.33,Two year,Bank transfer,Fiber optic,2,24,19,Standard,No,No
CUST-0115,Female,72,17,84.76,1395.17,One year,Electronic check,Fiber optic,4,25,12,Standard,No,No
CUST-0116,Female,59,6,61.42,347.08,Month-to-month,Credit card,Fiber optic,4,3,16,Basic,No,Yes
CUST-0117,Female,70,22,24.97,562.68,One year,Credit card,No,1,15,22,Basic,Yes,No
CUST-0118,Male,73,4,73.68,298.39,Month-to-month,Bank transfer,Fiber optic,5,13,16,Basic,Yes,Yes
CUST-0119,Female,51,30,49.02,1460.74,One year,Mailed check,DSL,3,13,26,Standard,No,No
CUST-0120,Female,26,6,64.27,392.56,Month-to-month,Bank transfer,Fiber optic,5,1,10,Basic,No,Yes
CUST-0121,Female,39,30,70.52,2104.96,One year,Electronic check,Fiber optic,2,16,2,Basic,No,Yes
CUST-0122,Female,30,17,85.38,1422.44,One year,Mailed check,Fiber optic,2,23,8,Premium,No,Yes
CUST-0123,Male,42,2,74.89,130.85,Month-to-month,Credit card,Fiber optic,4,7,6,Basic,Yes,Yes
CUST-0124,Male,65,13,49.46,688.88,Month-to-month,Electronic check,No,1,26,7,Premium,No,Yes
CUST-0125,Male,35,56,67.85,3796.56,Two year,Electronic check,Fiber optic,1,6,15,Basic,No,No
CUST-0126,Male,68,4,39.32,155.39,Month-to-month,Mailed check,DSL,4,12,13,Basic,No,Yes
CUST-0127,Female,29,2,45.03,100.53,Month-to-month,Bank transfer,DSL,3,28,16,Basic,No,Yes
CUST-0128,Female,57,2,72.09,163.76,Month-to-month,Electronic check,Fiber optic,5,30,14,Basic,No,Yes
CUST-0129,Male,34,15,55.43,826.93,Month-to-month,Electronic check,DSL,2,30,13,Basic,Yes,Yes
CUST-0130,Female,32,43,71.62,3101.85,Two year,Electronic check,Fiber optic,1,10,13,Basic,Yes,No
CUST-0131,Male,59,2,104.97,205.54,Month-to-month,Bank transfer,Fiber optic,5,18,5,Premium,No,Yes
CUST-0132,Male,32,3,59.52,178.35,Month-to-month,Electronic check,Fiber optic,7,18,6,Basic,No,Yes
CUST-0133,Male,32,19,48.87,918.89,One year,Bank transfer,No,0,9,16,Standard,Yes,No
CUST-0134,Male,72,38,96.06,3665.66,Two year,Electronic check,Fiber optic,3,23,6,Standard,Yes,No
CUST-0135,Female,56,23,65.71,1483.7,Month-to-month,Bank transfer,DSL,1,27,17,Standard,No,No
CUST-0136,Male,30,18,60.35,1090.88,Month-to-month,Credit card,DSL,4,10,7,Standard,No,Yes
CUST-0137,Female,34,54,61.52,3333.92,Two year,Electronic check,Fiber optic,3,15,15,Basic,No,No
CUST-0138,Female,49,21,44.9,963.4,One year,Electronic check,DSL,3,7,18,Basic,No,No
CUST-0139,Male,26,2,64.64,140.21,Month-to-month,Credit card,Fiber optic,1,1,18,Basic,No,Yes
CUST-0140,Female,57,1,55.83,55.83,Month-to-month,Electronic check,DSL,3,13,16,Basic,Yes,Yes
CUST-0141,Female,37,13,76.28,1003.18,Month-to-month,Electronic check,Fiber optic,1,16,13,Basic,Yes,Yes
CUST-0142,Male,43,11,27.46,316.86,Month-to-month,Credit card,No,1,16,7,Basic,No,Yes
CUST-0143,Male,44,2,70.46,153.9,Month-to-month,Credit card,DSL,2,10,17,Premium,No,Yes
CUST-0144,Male,38,57,100.01,5695.78,Two year,Mailed check,Fiber optic,4,0,8,Premium,No,No
CUST-0145,Male,35,2,62.23,121.41,Month-to-month,Electronic check,Fiber optic,4,18,4,Basic,No,Yes
CUST-0146,Male,30,20,71.23,1444.52,One year,Electronic check,Fiber optic,2,0,21,Basic,No,No
CUST-0147,Female,33,9,54.58,491.26,Month-to-month,Electronic check,Fiber optic,3,23,11,Basic,No,Yes
CUST-0148,Female,26,24,78.85,1873.32,One year,Bank transfer,Fiber optic,0,23,11,Basic,Yes,No
CUST-0149,Male,29,19,67.16,1267.85,One year,Bank transfer,Fiber optic,4,24,6,Basic,No,Yes
CUST-0150,Male,61,2,96.08,221.99,Month-to-month,Credit card,Fiber optic,2,3,15,Premium,No,Yes
CUST-0151,Female,55,20,54.49,1062.93,Month-to-month,Electronic check,Fiber optic,6,23,8,Basic,No,Yes
CUST-0152,Male,36,2,37.85,101.71,Month-to-month,Mailed check,DSL,5,6,22,Basic,No,Yes
CUST-0153,Male,77,61,71.35,4352.83,Two year,Electronic check,Fiber optic,5,19,2,Basic,No,No
CUST-0154,Male,24,43,56.12,2386.65,Two year,Electronic check,No,2,0,14,Premium,Yes,No
CUST-0155,Female,74,4,42.99,187.8,Month-to-month,Bank transfer,No,3,27,8,Premium,No,Yes
CUST-0156,Male,52,2,29.95,45.67,Month-to-month,Electronic check,No,4,10,5,Standard,No,Yes
CUST-0157,Female,65,6,71.28,429.56,Month-to-month,Bank transfer,Fiber optic,6,12,13,Basic,No,Yes
CUST-0158,Female,35,22,67.62,1450.89,One year,Bank transfer,Fiber optic,3,2,17,Basic,No,Yes
CUST-0159,Male,33,1,72.44,99.35,Month-to-month,Credit card,Fiber optic,3,23,9,Basic,No,No
CUST-0160,Female,72,3,68.81,200.55,Month-to-month,Bank transfer,Fiber optic,4,7,16,Basic,No,Yes
CUST-0161,Male,56,24,75.99,1811.49,Month-to-month,Credit card,Fiber optic,4,11,12,Standard,No,Yes
CUST-0162,Female,21,1,74.46,78.29,Month-to-month,Mailed check,Fiber optic,5,1,13,Basic,No,Yes
CUST-0163,Female,76,31,72.28,2258.39,One year,Electronic check,Fiber optic,1,22,12,Basic,Yes,No
CUST-0164,Female,42,4,76.19,300.98,Month-to-month,Mailed check,Fiber optic,9,0,12,Standard,No,Yes
CUST-0165,Male,49,20,66.59,1348.87,One year,Mailed check,Fiber optic,3,19,18,Basic,No,Yes
CUST-0166,Female,79,3,57.4,171.68,Month-to-month,Bank transfer,DSL,3,13,16,Standard,No,Yes
CUST-0167,Male,57,22,44.5,980.76,Month-to-month,Bank transfer,DSL,5,29,10,Basic,No,Yes
CUST-0168,Male,30,25,28.63,699.74,One year,Electronic check,No,2,14,17,Basic,Yes,No
CUST-0169,Male,62,42,72.36,3060.25,Two year,Electronic check,Fiber optic,5,22,7,Basic,No,No
CUST-0170,Female,34,28,92.05,2590.81,One year,Electronic check,Fiber optic,4,3,17,Premium,No,Yes
CUST-0171,Female,66,1,59.83,,Month-to-month,Bank transfer,Fiber optic,4,19,6,Basic,No,Yes
CUST-0172,Male,54,19,55.52,1076.22,Month-to-month,Bank transfer,Fiber optic,4,29,7,Basic,No,Yes
CUST-0173,Female,23,42,39.15,1623.31,Two year,Bank transfer,DSL,3,30,12,Basic,No,No
CUST-0174,Male,36,1,84.48,85.9,Month-to-month,Electronic check,Fiber optic,6,26,5,Standard,No,Yes
CUST-0175,Female,30,7,93.88,679.33,Month-to-month,Electronic check,Fiber optic,4,6,15,Standard,Yes,Yes
CUST-0176,Male,74,51,66.85,3408.65,Two year,Bank transfer,Fiber optic,5,0,20,Basic,No,No
CUST-0177,Female,77,49,62.9,3085.05,Two year,Bank transfer,Fiber optic,2,4,14,Basic,No,No
CUST-0178,Male,43,15,76.48,1149.58,Two year,Mailed check,DSL,4,13,11,Premium,No,No
CUST-0179,Female,31,46,90.65,4179.36,Two year,Bank transfer,Fiber optic,3,29,7,Standard,Yes,No
CUST-0180,Male,48,54,67.21,,Two year,Electronic check,DSL,0,5,25,Standard,Yes,No
CUST-0181,Male,71,17,69.38,1181.84,Month-to-month,Bank transfer,Fiber optic,6,22,10,Basic,Yes,Yes
CUST-0182,Male,21,8,55.93,455.38,Month-to-month,Credit card,Fiber optic,6,6,8,Basic,No,Yes
CUST-0183,Female,77,26,49.55,1296.15,One year,Bank transfer,No,0,11,12,Standard,Yes,No
CUST-0184,Female,56,5,92.83,496.15,Month-to-month,Mailed check,Fiber optic,7,6,16,Standard,No,Yes
CUST-0185,Male,25,2,82.46,,Month-to-month,Mailed check,Fiber optic,2,17,21,Standard,No,Yes
CUST-0186,Female,42,2,69.58,172.12,Month-to-month,Bank transfer,Fiber optic,2,21,11,Basic,No,Yes
CUST-0187,Female,30,6,84.47,499.56,Month-to-month,Bank transfer,Fiber optic,4,15,8,Standard,No,Yes
CUST-0188,Female,49,20,55.62,1085.42,One year,Mailed check,DSL,1,8,11,Standard,No,No
CUST-0189,Female,76,7,87.48,642.47,Month-to-month,Bank transfer,Fiber optic,4,6,12,Premium,No,Yes
CUST-0190,Male,55,27,33.92,936.89,Month-to-month,Electronic check,No,3,22,6,Basic,Yes,Yes
CUST-0191,Male,55,15,62.89,946.07,Month-to-month,Credit card,DSL,2,28,10,Standard,No,Yes
CUST-0192,Female,73,27,82.98,2228.75,One year,Bank transfer,Fiber optic,2,13,20,Standard,No,No
CUST-0193,Female,45,1,59.22,59.22,Month-to-month,Electronic check,No,1,1,19,Premium,Yes,Yes
CUST-0194,Female,70,1,82.48,87.59,Month-to-month,Mailed check,Fiber optic,3,29,13,Standard,No,Yes
CUST-0195,Male,47,19,95.07,1834.08,One year,Electronic check,Fiber optic,3,30,13,Premium,No,Yes
CUST-0196,Male,20,1,101.98,101.98,Month-to-month,Electronic check,Fiber optic,3,28,14,Premium,No,Yes
CUST-0197,Female,45,7,66.52,461.43,Month-to-month,Electronic check,Fiber optic,6,12,12,Basic,No,Yes
CUST-0198,Female,20,1,84.08,84.08,Month-to-month,Bank transfer,Fiber optic,5,29,8,Standard,No,Yes
CUST-0199,Female,62,3,86.14,248.73,Month-to-month,Credit card,Fiber optic,4,6,19,Standard,No,Yes
CUST-0200,Female,71,38,24.1,902.84,Two year,Mailed check,No,2,24,15,Basic,No,No
CUST-0201,Female,51,22,40.81,929.96,Month-to-month,Mailed check,DSL,2,18,6,Basic,No,Yes
CUST-0202,Male,33,16,57.95,911.16,One year,Mailed check,Fiber optic,2,1,14,Basic,No,No
CUST-0203,Male,39,47,57.7,2714.59,Month-to-month,Electronic check,DSL,3,5,12,Standard,No,No
CUST-0204,Female,49,9,45.15,382.75,Month-to-month,Electronic check,DSL,3,11,17,Basic,No,Yes
CUST-0205,Female,78,34,97.48,3331.68,One year,Bank transfer,Fiber optic,3,28,0,Premium,Yes,No
CUST-0206,Male,55,11,82.6,898.74,Month-to-month,Credit card,Fiber optic,9,1,16,Standard,No,Yes
CUST-0207,Male,25,10,55.55,511.43,Month-to-month,Mailed check,DSL,2,16,8,Standard,No,Yes
CUST-0208,Female,72,1,39.18,58.65,Month-to-month,Bank transfer,DSL,2,25,4,Basic,Yes,Yes
CUST-0209,Male,25,2,77.17,143.25,Month-to-month,Credit card,Fiber optic,3,11,26,Basic,Yes,Yes
CUST-0210,Male,79,27,37.41,1036.28,One year,Electronic check,No,4,19,5,Basic,Yes,No
CUST-0211,Female,74,3,65.65,218.73,Month-to-month,Bank transfer,Fiber optic,6,8,7,Basic,No,Yes
CUST-0212,Female,23,30,45.12,1351.37,Two year,Bank transfer,DSL,0,25,9,Standard,No,No
CUST-0213,Female,31,16,47.29,764.56,One year,Mailed check,No,1,13,24,Standard,Yes,No
CUST-0214,Male,49,12,70.99,853.77,Month-to-month,Electronic check,Fiber optic,4,2,0,Basic,No,Yes
CUST-0215,Female,52,11,31.24,315.62,Month-to-month,Bank transfer,No,2,2,21,Standard,No,No
CUST-0216,Male,27,1,74.3,102.77,Month-to-month,Bank transfer,Fiber optic,4,21,0,Basic,Yes,Yes
CUST-0217,Male,20,29,73.65,2130.73,One year,Electronic check,Fiber optic,2,28,13,Basic,Yes,Yes
CUST-0218,Female,76,1,35.95,36.42,Month-to-month,Mailed check,No,6,15,9,Standard,No,Yes
CUST-0219,Female,29,30,48.5,1455.76,Two year,Electronic check,DSL,0,5,18,Basic,Yes,No
CUST-0220,Female,66,1,52.09,52.09,Month-to-month,Credit card,No,2,30,9,Standard,Yes,Yes
CUST-0221,Female,76,45,41.97,1901.44,Two year,Mailed check,No,1,7,19,Standard,No,No
CUST-0222,Female,48,15,32.32,482.85,Month-to-month,Credit card,No,4,12,16,Standard,No,No
CUST-0223,Male,46,63,72.09,4531.41,Two year,Electronic check,Fiber optic,4,25,10,Basic,No,No
CUST-0224,Male,22,13,32.1,409.01,Month-to-month,Electronic check,DSL,5,21,5,Basic,No,Yes
CUST-0225,Male,79,17,61.29,1075.18,Month-to-month,Electronic check,Fiber optic,5,7,15,Basic,No,Yes
CUST-0226,Male,69,1,63.46,64.65,Month-to-month,Electronic check,No,2,7,21,Premium,Yes,No
CUST-0227,Female,42,1,75.79,108.29,Month-to-month,Electronic check,Fiber optic,7,6,13,Basic,Yes,Yes
CUST-0228,Male,58,39,66.07,2557.6,Two year,Mailed check,Fiber optic,2,4,18,Basic,No,No
CUST-0229,Female,48,5,97.24,473.29,Month-to-month,Electronic check,Fiber optic,8,19,3,Premium,No,Yes
CUST-0230,Female,79,12,77.93,925.5,Month-to-month,Mailed check,Fiber optic,0,0,19,Standard,No,No
CUST-0231,Female,38,21,71.62,1502.38,One year,Electronic check,DSL,0,12,15,Standard,Yes,No
CUST-0232,Female,75,24,108.83,2597.63,Month-to-month,Mailed check,Fiber optic,1,21,11,Premium,Yes,No
CUST-0233,Female,37,17,29.85,504.88,Month-to-month,Bank transfer,No,5,7,13,Basic,Yes,Yes
CUST-0234,Male,56,36,45.0,1624.02,One year,Bank transfer,DSL,3,10,18,Basic,No,No
CUST-0235,Male,39,2,32.65,85.4,Month-to-month,Credit card,No,5,29,6,Basic,Yes,Yes
CUST-0236,Female,21,39,64.16,2475.38,Two year,Electronic check,Fiber optic,3,19,18,Basic,No,No
CUST-0237,Male,30,4,78.95,334.38,Month-to-month,Mailed check,Fiber optic,2,6,14,Standard,No,Yes
CUST-0238,Male,62,16,69.63,1128.85,Month-to-month,Mailed check,Fiber optic,9,18,1,Basic,Yes,Yes
CUST-0239,Female,59,24,62.31,1475.96,One year,Mailed check,DSL,0,28,6,Standard,Yes,No
CUST-0240,Male,67,21,64.45,1337.68,One year,Bank transfer,Fiber optic,2,29,7,Basic,No,Yes
CUST-0241,Female,66,16,75.79,1219.81,Month-to-month,Mailed check,Fiber optic,4,20,8,Basic,Yes,Yes
CUST-0242,Female,37,18,85.82,1532.16,One year,Mailed check,Fiber optic,2,6,25,Standard,Yes,No
CUST-0243,Female,69,1,75.58,103.0,Month-to-month,Mailed check,Fiber optic,8,15,15,Basic,Yes,Yes
CUST-0244,Male,30,9,52.66,473.81,Month-to-month,Credit card,DSL,5,11,12,Standard,No,No
CUST-0245,Male,34,43,91.81,3923.64,Two year,Credit card,Fiber optic,5,10,11,Premium,No,No
CUST-0246,Female,71,16,92.96,1465.02,Month-to-month,Electronic check,Fiber optic,6,24,12,Standard,Yes,Yes
CUST-0247,Male,53,8,66.24,500.12,Month-to-month,Electronic check,Fiber optic,3,8,13,Basic,No,Yes
CUST-0248,Female,50,42,69.7,2925.3,Two year,Credit card,DSL,2,6,11,Premium,No,No
CUST-0249,Female,18,25,22.93,572.1,Two year,Credit card,No,4,19,4,Basic,No,No
CUST-0250,Female,32,1,83.96,94.22,Month-to-month,Electronic check,Fiber optic,5,21,5,Standard,Yes,Yes
CUST-0251,Male,30,2,59.36,143.98,Month-to-month,Electronic check,Fiber optic,6,28,10,Basic,No,Yes
